epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,39.5697,0.64825,1.22777,1.06624,0.75617,0.48333,0.50928,0.30643,1.71003,1.79721,1.40221,2.99066e-05,2.99066e-05,2.99066e-05
56,40.2838,0.88962,1.00032,1.35893,0.75617,0.48333,0.50928,0.30643,1.71003,1.79721,1.40221,2.98125e-05,2.98125e-05,2.98125e-05
57,41.0071,0.73622,0.70762,1.12169,0.76884,0.5,0.49228,0.27841,1.75172,1.85447,1.41944,2.96948e-05,2.96948e-05,2.96948e-05
58,41.6557,0.87045,0.66829,1.29576,0.76884,0.5,0.49228,0.27841,1.75172,1.85447,1.41944,2.95535e-05,2.95535e-05,2.95535e-05
59,42.229,0.92755,0.85836,1.14929,0.76884,0.5,0.49228,0.27841,1.75172,1.85447,1.41944,2.93887e-05,2.93887e-05,2.93887e-05
60,42.763,0.76328,1.22421,1.18549,0.78363,0.49555,0.54283,0.29587,1.75591,1.86493,1.42773,2.92003e-05,2.92003e-05,2.92003e-05
61,43.2009,0.76611,0.86337,1.02041,0.78363,0.49555,0.54283,0.29587,1.75591,1.86493,1.42773,2.89884e-05,2.89884e-05,2.89884e-05
62,43.7311,0.60927,0.69193,0.99835,0.78363,0.49555,0.54283,0.29587,1.75591,1.86493,1.42773,2.87529e-05,2.87529e-05,2.87529e-05
63,44.2456,0.91641,1.54827,1.34827,0.77929,0.49502,0.52676,0.27874,1.74554,1.89242,1.43614,2.84938e-05,2.84938e-05,2.84938e-05
64,44.7148,0.79492,0.82958,1.23276,0.77929,0.49502,0.52676,0.27874,1.74554,1.89242,1.43614,2.82112e-05,2.82112e-05,2.82112e-05
65,45.2085,0.70511,0.80204,1.15858,0.77929,0.49502,0.52676,0.27874,1.74554,1.89242,1.43614,2.7905e-05,2.7905e-05,2.7905e-05
66,45.7345,0.78026,1.43366,1.16214,0.78057,0.49387,0.52835,0.32523,1.71026,1.85471,1.42009,2.75753e-05,2.75753e-05,2.75753e-05
67,46.2156,0.83664,1.26289,1.24531,0.78057,0.49387,0.52835,0.32523,1.71026,1.85471,1.42009,2.7222e-05,2.7222e-05,2.7222e-05
68,46.7158,0.83489,0.97265,1.15776,0.78057,0.49387,0.52835,0.32523,1.71026,1.85471,1.42009,2.68451e-05,2.68451e-05,2.68451e-05
69,47.2464,0.86539,0.89095,1.22124,0.83168,0.49459,0.53183,0.32088,1.74713,1.88625,1.43739,2.64447e-05,2.64447e-05,2.64447e-05
70,47.7347,0.65294,0.66026,1.02749,0.83168,0.49459,0.53183,0.32088,1.74713,1.88625,1.43739,2.60207e-05,2.60207e-05,2.60207e-05
71,48.2089,0.73992,0.71908,1.11893,0.83168,0.49459,0.53183,0.32088,1.74713,1.88625,1.43739,2.55731e-05,2.55731e-05,2.55731e-05
72,48.7232,0.53631,0.75029,1.04262,0.83559,0.49108,0.53144,0.32906,1.75521,1.95005,1.45131,2.5102e-05,2.5102e-05,2.5102e-05
73,49.2014,0.79386,0.75475,1.18163,0.83559,0.49108,0.53144,0.32906,1.75521,1.95005,1.45131,2.46073e-05,2.46073e-05,2.46073e-05
74,49.718,0.64284,0.68956,1.18333,0.83559,0.49108,0.53144,0.32906,1.75521,1.95005,1.45131,2.40891e-05,2.40891e-05,2.40891e-05
75,50.275,0.80039,0.68082,1.08273,0.84021,0.4835,0.5302,0.32735,1.72459,1.97342,1.43819,2.35472e-05,2.35472e-05,2.35472e-05
76,50.7347,0.67566,0.67723,1.04883,0.84021,0.4835,0.5302,0.32735,1.72459,1.97342,1.43819,2.29819e-05,2.29819e-05,2.29819e-05
77,51.2101,0.74516,0.78389,1.11911,0.84021,0.4835,0.5302,0.32735,1.72459,1.97342,1.43819,2.23929e-05,2.23929e-05,2.23929e-05
78,51.7745,0.8277,1.02103,1.25262,0.84281,0.48093,0.52719,0.30983,1.72649,2.00896,1.44493,2.17805e-05,2.17805e-05,2.17805e-05
79,52.2805,0.7259,0.89842,1.15759,0.84281,0.48093,0.52719,0.30983,1.72649,2.00896,1.44493,2.11444e-05,2.11444e-05,2.11444e-05
80,52.7981,0.64742,0.64101,1.02041,0.84281,0.48093,0.52719,0.30983,1.72649,2.00896,1.44493,2.04848e-05,2.04848e-05,2.04848e-05
81,53.3357,0.81614,0.92466,1.27687,0.84596,0.47621,0.5258,0.30304,1.71955,2.01923,1.44448,1.98016e-05,1.98016e-05,1.98016e-05
